age	data
57	gut
43	gut
42	gut
69	gut
36	gut
73	gut
35	gut
47	gut
47	gut
55	gut
28	gut
68	gut
65	gut
30	gut
50	gut
35	gut
34	gut
44	gut
26	gut
43	gut
66	gut
36	gut
37	gut
63	gut
44	gut
45	gut
36	gut
33	gut
19	gut
47	gut
20	gut
28	gut
22	gut
26	gut
27	gut
51	gut
30	gut
20	gut
25	gut
66	gut
32	gut
40	gut
64	gut
30	gut
56	gut
31	gut
27	gut
46	gut
59	gut
19	gut
44	gut
64	gut
55	gut
53	gut
73	gut
67	gut
30	gut
33	gut
45	gut
43	gut
65	gut
55	gut
68	gut
34	gut
37	gut
71	gut
50	gut
29	gut
70	gut
66	gut
22	gut
25	gut
31	gut
43	gut
62	gut
61	gut
19	gut
19	gut
17	gut
29	gut
38	gut
62	gut
44	gut
54	gut
48	gut
67	gut
52	gut
41	gut
64	gut
59	gut
59	gut
48	gut
42	gut
44	gut
42	gut
36	gut
73	gut
35	gut
55	gut
46	gut
55	gut
38	gut
73	gut
56	gut
37	gut
37	gut
59	gut
37	gut
74	gut
50	gut
38	gut
38	gut
32	gut
50	gut
36	gut
48	gut
34	gut
34	gut
62	gut
44	gut
50	gut
57	gut
46	gut
66	gut
66	gut
64	gut
69	gut
74	gut
57	gut
55	gut
46	gut
56	gut
57	gut
49	gut
53	gut
57	gut
37	gut
41	gut
55	gut
49	gut
19	gut
35	gut
27	gut
66	gut
49	gut
65	gut
44	gut
15	gut
24	gut
21	gut
48	gut
59	gut
34	gut
20	gut
30	gut
44	gut
50	gut
38	gut
38	gut
34	gut
59	gut
45	gut
49	gut
49	gut
14	gut
25	gut
37	gut
42	gut
66	gut
62	gut
50	gut
34	gut
47	gut
47	gut
75	gut
51	gut
50	gut
67	gut
52	gut
44	gut
40	gut
41	gut
65	gut
24	gut
32	gut
32	gut
30	gut
39	gut
55	gut
33	gut
41	gut
22	gut
24	gut
20	gut
23	gut
59	gut
20	gut
19	gut
52	gut
21	gut
68	gut
30	gut
23	gut
45	gut
62	gut
43	gut
31	gut
73	gut
52	gut
46	gut
41	gut
46	gut
76	gut
38	gut
33	gut
33	gut
60	gut
66	gut
67	gut
54	gut
34	gut
39	gut
60	gut
87	gut
37	gut
26	gut
21	gut
19	gut
25	gut
23	gut
22	gut
24	gut
28	gut
59	gut
26	gut
32	gut
19	gut
27	gut
25	gut
25	gut
20	gut
22	gut
59	gut
32	gut
53	gut
60	gut
39	gut
37	gut
79	gut
61	gut
58	gut
55	gut
41	gut
41	gut
68	gut
67	gut
66	gut
28	gut
63	gut
41	gut
66	gut
18	gut
25	gut
19	gut
18	gut
24	gut
68	gut
33	gut
66	gut
51	gut
72	gut
36	gut
73	gut
58	gut
34	gut
59	gut
67	gut
38	gut
36	gut
35	gut
56	gut
72	gut
52	gut
29	gut
28	gut
24	gut
48	gut
23	gut
79	gut
43	gut
27	gut
57	gut
72	gut
49	gut
45	gut
56	gut
41	gut
48	gut
86	gut
51	gut
53	gut
56	gut
35	gut
41	gut
49	gut
71	gut
66	gut
64	gut
35	gut
63	gut
69	gut
27	gut
75	gut
30	gut
53	gut
48	gut
69	gut
52	gut
59	gut
60	gut
54	gut
66	gut
26	gut
67	gut
34	gut
30	gut
47	gut
53	gut
47	gut
51	gut
50	gut
43	gut
46	gut
34	gut
72	gut
71	gut
50	gut
68	gut
55	gut
32	gut
31	gut
64	gut
39	gut
38	gut
28	gut
42	gut
62	gut
30	gut
66	gut
62	gut
66	gut
58	gut
64	gut
64	gut
47	gut
72	gut
5	gut
37	gut
65	gut
51	gut
56	gut
62	gut
53	gut
58	gut
55	gut
66	gut
70	gut
55	gut
64	gut
53	gut
68	gut
47	gut
60	gut
73	gut
52	gut
55	gut
58	gut
79	gut
71	gut
63	gut
47	gut
48	gut
43	gut
39	gut
41	gut
30	gut
53	gut
73	gut
57	gut
56	gut
14	gut
47	gut
62	gut
54	gut
56	gut
64	gut
69	gut
22	gut
33	gut
30	gut
23	gut
32	gut
23	gut
47	gut
30	gut
30	gut
32	gut
29	gut
66	gut
72	gut
38	gut
63	gut
49	gut
27	gut
64	gut
33	gut
58	gut
34	gut
38	gut
58	gut
26	gut
29	gut
59	gut
31	gut
65	gut
59	gut
59	gut
57	gut
34	gut
64	gut
51	gut
61	gut
42	gut
52	gut
59	gut
55	gut
68	gut
37	gut
38	gut
46	gut
27	gut
53	gut
71	gut
21	gut
23	gut
63	gut
68	gut
34	gut
30	gut
55	gut
26	gut
41	gut
30	gut
43	gut
52	gut
65	gut
64	gut
27	gut
48	gut
33	gut
43	gut
45	gut
62	gut
49	gut
36	gut
52	gut
72	gut
47	gut
18	gut
23	gut
40	gut
29	gut
33	gut
32	gut
39	gut
67	gut
71	gut
55	gut
60	gut
68	gut
38	gut
49	gut
77	gut
34	gut
42	gut
44	gut
40	gut
69	gut
50	gut
46	gut
33	gut
50	gut
39	gut
44	gut
37	gut
46	gut
53	gut
47	gut
